date,spx,dax,ftse,nikkei
07/01/1994,469.9,2224.95,3445.98,18124.01
10/01/1994,475.27,2225,3440.58,18443.44
11/01/1994,474.13,2228.1,3413.77,18485.25
12/01/1994,474.17,2182.06,3372.02,18793.88
13/01/1994,472.47,2142.37,3360.01,18577.26
14/01/1994,474.91,2151.05,3400.56,18973.7
17/01/1994,473.3,2115.56,3407.83,18725.37
18/01/1994,474.25,2130.35,3437.01,18514.55
19/01/1994,474.3,2132.52,3475.15,19039.4
20/01/1994,474.98,2098.36,3469.99,19183.92
21/01/1994,474.72,2073.94,3484.21,19307.43
24/01/1994,471.97,2107.29,3481.42,18353.24
25/01/1994,470.92,2090.78,3443.97,18648.36
26/01/1994,473.2,2128.66,3436.08,19138.21
27/01/1994,477.05,2123.31,3427.25,18891.79
28/01/1994,478.7,2156.61,3447.45,18757.88
31/01/1994,481.61,2192.6,3491.83,20229.12
01/02/1994,479.62,2181.88,3481.47,20416.34
02/02/1994,482,2184.05,3520.27,20250.03
03/02/1994,480.71,2137.08,3491.48,20174.82
04/02/1994,469.81,2143.9,3475.44,20301.43
07/02/1994,471.76,2095.11,3419.07,20014.4
08/02/1994,471.05,2099.57,3440.2,20251.23
09/02/1994,472.77,2116.43,3429.11,19841.38
10/02/1994,468.93,2119.69,3406.95,19990.7
11/02/1994,470.18,2108.77,3378.87,19990.7
14/02/1994,470.23,2101.93,3363.53,19459.25
15/02/1994,472.52,2130.71,3393.16,18974.6
16/02/1994,472.79,2135.25,3417.73,19052.11
17/02/1994,470.34,2162.29,3425.3,18931.39
18/02/1994,467.69,2133.85,3382.6,18959.6
21/02/1994,467.69,2108.06,3350.26,19393.94
22/02/1994,471.46,2113.64,3333.75,19342.63
23/02/1994,470.69,2140.25,3341.86,19341.83
24/02/1994,464.26,2082.9,3267.46,19765.48
25/02/1994,466.07,2075.33,3281.2,19803.38
28/02/1994,467.14,2103.24,3328.1,19997.2
01/03/1994,464.44,2056.61,3270.6,20216.62
02/03/1994,464.81,2018.69,3248.09,19744.77
03/03/1994,463.01,2044.45,3246.5,19605.86
04/03/1994,464.74,2076.76,3278,19966
07/03/1994,466.91,2132.12,3305.91,19811.88
08/03/1994,465.88,2125.47,3264.4,19898.39
09/03/1994,467.06,2118.01,3246.7,19839.18
10/03/1994,463.9,2124.51,3233.9,20090.71
11/03/1994,466.44,2101.89,3191.9,20115.31
14/03/1994,467.39,2169.68,3233.4,20526.15
15/03/1994,467.01,2178.91,3267.4,20508.85
16/03/1994,469.42,2168.11,3242.9,20677.77
17/03/1994,470.9,2160.45,3255.7,20592.16
18/03/1994,471.06,2140.95,3218.1,20469.45
21/03/1994,468.54,2130.55,3197.98,20469.45
22/03/1994,468.8,2141.7,3201.52,20253.53
23/03/1994,468.54,2162.96,3155.3,19962.1
24/03/1994,464.35,2144.36,3121.71,20037.9
25/03/1994,460.58,2144,3128.98,19836.48
28/03/1994,460,2167.72,3129.5,19941.79
29/03/1994,452.48,2162.82,3123.4,19709.74
30/03/1994,445.55,2151.84,3092.4,19559.91
31/03/1994,445.77,2142.88,3086.4,19111.92
01/04/1994,445.77,2142.88,3086.4,19277.16
04/04/1994,438.92,2142.88,3086.4,19122.22
05/04/1994,448.29,2177.09,3116.2,19563.21
06/04/1994,448.05,2184.89,3131.5,19696.74
07/04/1994,450.88,2184.89,3129,19890.98
08/04/1994,447.1,2203.18,3120.8,19934.99
11/04/1994,449.87,2224.85,3149.4,19898.08
12/04/1994,447.57,2211.19,3159.1,19648.33
13/04/1994,446.26,2215.19,3145.8,20060.41
14/04/1994,446.38,2198.24,3131.7,19987.2
15/04/1994,446.18,2211.92,3168.3,20164.63
18/04/1994,442.46,2218.37,3138.16,20277.36
19/04/1994,442.54,2193.89,3128.01,20192.34
20/04/1994,441.96,2194.09,3098.34,19882.18
