Date,gold,silver,plat,pall
1993/11/01,369.25,4.25,367.2,128.75
1993/12/01,376.3,4.62,374,124
1994/01/01,394,5.24,399,126.25
1994/02/01,384.5,5.31,393,128.25
1994/03/01,378.75,5.32,392.5,136.1
1994/04/01,391,5.78,423,135.5
1994/05/01,376.7,5.33,403.5,141.65
1994/06/01,383.8,5.34,398,134.3
1994/07/01,387.2,5.42,412,145
1994/08/01,384,5.33,424,155.25
1994/09/01,387.3,5.42,414.2,153.5
1994/10/01,396,5.67,419.9,152.5
1994/11/01,384.6,5.3,418,160.25
1994/12/01,380.25,4.94,401.1,154.25
1995/01/01,383,4.9,418.5,159.5
1995/02/01,376.2,4.68,416.5,158.95
1995/03/01,374.9,4.42,404.3,152.25
1995/04/01,392,5.31,442.75,173.7
1995/05/01,388.1,5.87,444.5,162.6
1995/06/01,385.05,5.37,434.2,159.5
1995/07/01,385,5.1,434.75,158.75
1995/08/01,383.5,5.18,421.2,153
1995/09/01,381.05,5.33,429.5,147
1995/10/01,382.5,5.3,410.2,140.1
1995/11/01,382.5,5.33,409,137.75
1995/12/01,386.6,5.22,410.9,128.5
1996/01/01,387.1,5.15,400.5,128.7
1996/02/01,411.6,5.79,427.75,134
1996/03/01,398.9,5.52,411.5,134
1996/04/01,394.9,5.55,407.25,141
1996/05/01,393.05,5.37,403.25,132.1
1996/06/01,390.55,5.37,401.5,130.9
1996/07/01,382,5.07,393,134.5
1996/08/01,385.5,5.12,404.55,130.25
1996/09/01,387,5.18,396,125.5
1996/10/01,378.75,4.9,383.65,119.25
1996/11/01,378.25,4.81,380.5,116.25
1996/12/01,368.2,4.695,371.55,115.25
1997/01/01,369.65,4.78,370.5,116.75
1997/02/01,346.65,4.91,351.95,126.8
1997/03/01,361.8,5.29,388,154
1997/04/01,351.95,5,371.75,150.5
1997/05/01,340.45,4.76,374.1,157.5
1997/06/01,344.45,4.74,405,173.5
1997/07/01,334.15,4.66,430.3,193.5
1997/08/01,324.75,4.48,441.5,226.1
1997/09/01,324.55,4.66,409.5,189.5
1997/10/01,333.75,5.18,431.5,192.75
1997/11/01,313.55,4.85,408,209
1997/12/01,293.45,5.31,385.5,207
1998/01/01,288.75,6,363,203
1998/02/01,303,6.35,389.5,240.15
1998/03/01,299.5,6.605,389,233.5
1998/04/01,299.35,6.375,407.5,269.5
1998/05/01,302.25,6.155,397,359.5
1998/06/01,288.45,5.085,364.3,265
1998/07/01,296.45,5.475,368,295.55
1998/08/01,282.95,5.365,373,305
1998/09/01,278.85,4.805,364,279
1998/10/01,299.85,5.305,355,284.5
1998/11/01,290,5.045,337.3,273.5
1998/12/01,293.75,4.88,352,274.15
1999/01/01,287.75,5.045,362,334.65
1999/02/01,288.85,5.32,348.5,342.1
1999/03/01,286.4,5.555,378.5,350.5
1999/04/01,280.45,5.035,361.5,344.5
1999/05/01,286.35,5.425,347.9,298.15
1999/06/01,267.65,4.985,362.5,341.5
1999/07/01,263.4,5.265,351,320.5
1999/08/01,255.15,5.37,343,332.5
1999/09/01,253.85,5.135,348,340.5
1999/10/01,309,5.59,400.5,389.5
1999/11/01,290.25,5.2,413.5,392.5
1999/12/01,289.5,5.17,440.5,399.5
2000/01/01,289,5.405,442.5,449.5
2000/02/01,282.63,5.195,487.5,486.5
2000/03/01,289.75,5.08,475,700
2000/04/01,278.2,5.03,505,595
2000/05/01,273.35,5.02,555.5,595
2000/06/01,272.8,4.895,551,582
2000/07/01,288.35,5,554,623
2000/08/01,277.35,4.985,585.75,823
2000/09/01,276.75,4.96,592,725
2000/10/01,273.45,4.88,573,717.5
2000/11/01,264.8,4.76,589,779
2000/12/01,269.4,4.65,615,842.1
2001/01/01,272.5,4.6,612.5,959.45
2001/02/01,268.75,4.795,600.4,1045
2001/03/01,265.65,4.42,601.6,802.55
2001/04/01,255.55,4.32,557.5,722.5
2001/05/01,264.55,4.37,599,677.5
