"","watt","appliances"
"1",93.8236901682577,2
"2",90.5230176711229,2
"3",92.1986001593085,2
"4",90.4128865219928,3
"5",94.3596489443681,3
"6",106.66652638973,2
"7",92.4839579443939,3
"8",86.8095222024272,3
"9",107.755338047913,2
"10",93.385065677929,2
"11",96.3569119574778,2
"12",105.812623453845,2
"13",99.339105155511,3
"14",103.716627194226,3
"15",103.242700522377,2
"16",125.884458144298,2
"17",117.156677682567,2
"18",117.771851264881,2
"19",135.895962064285,2
"20",153.966688982144,4
"21",156.74509101196,7
"22",148.752373253766,3
"23",148.266752693474,2
"24",138.055521455638,2
"25",191.638275245247,6
"26",197.434063227052,7
"27",189.177033379341,4
"28",184.97358508086,6
"29",208.016185845245,7
"30",185.437185144976,5
"31",199.968213031387,6
"32",198.406095070317,6
"33",189.891625846453,4
"34",196.704266418979,4
"35",183.304761304817,6
"36",191.270991921747,5
"37",214.834430136345,4
"38",211.742922182571,5
"39",228.726947202329,5
"40",213.816557460748,7
"41",224.929734474496,5
"42",221.054750159526,4
"43",217.515713196463,4
"44",218.392046050058,6
"45",206.55638491195,7
"46",221.838000097993,5
"47",216.392213394869,4
"48",214.554754688172,4
"49",219.032501122359,4
"50",226.190917996206,6
"51",209.956397092861,7
"52",202.917447900171,7
"53",205.008619527942,4
"54",203.643074633045,7
"55",216.149222649028,6
"56",219.779237377178,5
"57",214.871200446272,4
"58",214.6529884802,5
"59",201.519764753807,5
"60",212.365224932768,5
"61",215.181592670205,5
"62",212.790137136337,7
"63",230.880123276249,6
"64",232.650741248864,5
"65",231.608570874862,6
"66",223.915209588576,5
"67",234.335589581062,6
"68",212.858577018585,5
"69",206.62415934708,6
"70",202.455910277091,7
"71",217.515330444882,4
"72",219.129475328982,7
"73",201.585117147354,5
"74",210.904817088489,4
"75",208.8331834083,6
"76",218.184120162838,6
"77",212.879810805952,4
"78",208.004164366406,5
"79",209.998422630879,5
"80",219.924262053666,5
"81",216.53830540076,4
"82",212.713196512286,6
"83",209.700162598304,6
"84",204.347734074176,5
"85",214.480889149218,5
"86",204.815995553884,6
"87",226.718121814943,5
"88",212.073540458671,5
"89",223.044383502454,5
"90",210.43789093013,5
"91",223.776332718303,6
"92",207.332342731211,6
"93",219.651982448512,4
"94",225.618960489501,6
"95",219.402667840738,4
"96",200.901338318456,7
"97",200.191605877525,4
"98",201.375930162705,4
"99",217.43973917887,5
"100",216.586611919667,5
"101",213.02603235282,4
"102",214.51761322716,7
"103",212.100683082507,7
"104",208.127782462659,5
"105",212.760383807058,5
"106",230.300431177213,5
"107",222.520442798927,6
"108",216.113756700705,4
"109",228.936885766111,5
"110",223.546415025046,5
"111",206.579378595131,4
"112",207.403607257968,4
"113",208.661909686541,4
"114",198.748029233862,6
"115",212.025463477683,6
"116",210.473670732183,5
"117",221.106375678797,6
"118",212.469467520904,5
"119",201.779165051411,7
"120",207.628057159885,7
"121",216.700608238581,7
"122",212.442728567571,7
"123",220.053656082095,7
