"","mydata"
"1",32.8014644281091
"2",42.465484505596
"3",NA
"4",32.2040580597465
"5",55.5576465780875
"6",33.050864417608
"7",43.4016201367987
"8",37.7683183248686
"9",22.8441803260909
"10",36.4288766509712
"11",28.4964846454921
"12",59.0378806809564
"13",36.544162803312
"14",26.6681348837132
"15",41.325625509162
"16",28.9131985691593
"17",38.5954167683695
"18",31.341446909746
"19",34.5470230722262
"20",NA
"21",30.4993240465007
"22",49.3913229238727
"23",43.9760040655672
"24",22.1627411134281
"25",19.4395254656689
"26",41.8924071696462
"27",30.3218566496796
"28",32.8998777337838
"29",17.6862345917498
"30",10.3327905253855
"31",31.612957866073
"32",40.0112746515836
"33",35.378516909627
"34",46.1672220792389
"35",26.9032068034459
"36",36.3048210841306
"37",23.408769987947
"38",42.785840882707
"39",31.9196737635873
"40",37.5712255003138
"41",33.9074851696085
"42",17.6989166155892
"43",19.9317754891885
"44",23.9711693780391
"45",999
"46",32.853669952911
"47",33.0123199455042
"48",47.8932485974004
"49",33.961103799206
"50",40.826517504151
"51",34.3895792574189
"52",27.2103219735436
"53",41.8158267165007
"54",NA
"55",49.7110802368972
"56",37.2464859983762
"57",34.4725066536752
"58",27.5549132346434
"59",37.976930222095
"60",24.5034806406656
"61",33.9415469313809
"62",28.5823264364238
"63",17.9454022426002
"64",40.335542768781
"65",32.1030753076465
"66",15.6093461782558
"67",38.6371300670655
"68",58.8775577815301
"69",42.1787694808058
"70",34.0754694158272
"71",29.2082064578672
"72",20.4099342082795
"73",23.6828600003637
"74",49.0145655250562
"75",59.1609027315773
"76",24.994359301429
"77",37.3216719684591
"78",11.8304205359364
"79",49.9079752577462
"80",33.2884274452512
"81",25.9003069903663
"82",34.6610994662691
"83",38.1709514162304
"84",30.246684999525
"85",45.0013263924341
"86",36.0828273953906
"87",38.9695875661027
"88",24.2607259299041
"89",8.61940081886546
"90",33.9331674248288
"91",30.1580557242361
"92",32.211134756312
"93",46.688584374143
"94",36.3990981850139
"95",27.2665102965442
"96",39.7061007358947
"97",48.5607005950288
"98",999
"99",31.0116124663881
"100",33.5651837225943
"101",41.8504764980475
"102",45.7809262031995
"103",21.6794044830937
"104",32.3404972170223
"105",55.9048955964572
"106",17.3498945774064
"107",32.9945163608212
"108",36.1554257281171
"109",47.0893419612623
"110",33.955275193711
"111",36.5638375258494
"112",18.7733822689229
"113",28.0776048349577
"114",40.4833238539987
"115",41.3417707264744
"116",32.9078393819993
"117",59.6049107697219
"118",20.9892785175926
"119",46.886733873191
"120",53.9311629795143
"121",44.6624684535676
"122",43.1250454459668
"123",25.8002436557973
"124",22.83392018265
"125",51.3973572646895
"126",34.7759216092874
"127",50.9225318911577
"128",36.4302580556916
"129",32.9756896101719
"130",37.6590173924355
"131",48.0063227035495
"132",49.9019188350913
"133",20.6196434771271
"134",24.8952057961279
"135",4.68254327087045
"136",17.0494612260729
"137",45.6185428357408
"138",28.2882087755309
"139",50.4462581460266
"140",34.983970931651
"141",38.8472825092234
"142",32.3014933941605
"143",46.0445738752805
"144",21.7394732763714
"145",16.457914731365
"146",36.1576019674311
"147",35.7733136841633
"148",23.3683001719392
"149",34.2207363445177
"150",39.4436743431349
"151",26.0740435912276
"152",28.5992692097443
"153",45.4105162233624
"154",NA
"155",30.5850041801892
"156",23.405284042357
"157",36.949437926439
"158",17.6475084901244
"159",22.9910436805662
"160",40.3888993437058
"161",30.6544402094957
"162",49.2611816793553
"163",31.2155052234624
"164",30.4624422322944
"165",41.2944234737051
"166",28.0463927241927
"167",24.9259695556048
"168",23.9340943295882
"169",41.690112397405
"170",46.2264758726376
"171",40.7417205454451
"172",999
"173",26.4550475367652
"174",12.766929488886
"175",38.133315068332
"176",61.6532407391944
"177",11.4740538281469
"178",41.8353346301688
"179",34.5728981308222
"180",59.9216150748785
"181",53.0726879282412
"182",51.8898655881269
"183",43.7008882123213
"184",33.6394916160928
"185",24.9889014885236
"186",27.0193761326723
"187",12.7748817408065
"188",21.0015514040363
"189",18.1331127437142
"190",48.563806972988
"191",64.6330749984456
"192",29.362667946825
"193",45.4782450101272
"194",34.1526291056605
"195",50.5738685969538
"196",43.5644190957224
"197",57.6440843754262
"198",20.7854082397611
"199",39.8117074032391
"200",51.8543354361047
"201",33.3517625911123
"202",23.2421068688582
"203",34.3518794873255
"204",28.1137924582182
"205",33.9529105909885
"206",35.3726680805916
"207",38.0598413108849
"208",40.8184403777132
"209",45.7683352963874
"210",39.2721283803236
"211",999
"212",36.6655372117805
"213",50.2828931910483
"214",34.5610399957173
"215",46.0408302696152
"216",39.9363080974126
"217",39.8731440708172
"218",51.126395990264
"219",2.68347171280436
"220",51.6679751093088
"221",41.3362291153535
"222",43.0904496110253
"223",24.6868415270579
"224",52.3009079699303
"225",37.3799430223485
"226",19.043253658897
"227",43.5121212150038
"228",54.2363601132594
"229",33.5571597172507
"230",33.8515966789647
"231",NA
"232",36.1494600773157
"233",32.9850373534117
"234",31.4227655612901
"235",36.5748505445368
"236",29.6484832190373
"237",18.2909536385286
"238",38.154074933642
"239",34.446451945978
"240",12.0377429113999
"241",23.5815300296113
"242",36.9683945001796
"243",50.7471741510034
"244",37.9813888903497
"245",28.6932028325627
"246",32.3960093344112
"247",41.3254844073472
"248",30.01757101357
"249",14.8181107566567
"250",45.403853693405
