,Ti
2018-10-01 18:00:00,19.6
2018-10-01 18:30:00,19.58
2018-10-01 19:00:00,19.61
2018-10-01 19:30:00,19.671
2018-10-01 20:00:00,19.749
2018-10-01 20:30:00,19.81
2018-10-01 21:00:00,19.878
2018-10-01 21:30:00,19.936
2018-10-01 22:00:00,19.994
2018-10-01 22:30:00,20.05
2018-10-01 23:00:00,20.101
2018-10-01 23:30:00,20.154
2018-10-02 00:00:00,20.201
2018-10-02 00:30:00,20.251
2018-10-02 01:00:00,20.298
2018-10-02 01:30:00,20.345
2018-10-02 02:00:00,20.393
2018-10-02 02:30:00,20.437
2018-10-02 03:00:00,20.485
2018-10-02 03:30:00,20.528
2018-10-02 04:00:00,20.574
2018-10-02 04:30:00,20.616
2018-10-02 05:00:00,20.657
2018-10-02 05:30:00,20.697
2018-10-02 06:00:00,20.736
2018-10-02 06:30:00,20.778
2018-10-02 07:00:00,20.822
2018-10-02 07:30:00,20.868
2018-10-02 08:00:00,20.916
2018-10-02 08:30:00,20.967
2018-10-02 09:00:00,21.0
2018-10-02 09:30:00,21.0
2018-10-02 10:00:00,21.0
2018-10-02 10:30:00,21.0
2018-10-02 11:00:00,21.0
2018-10-02 11:30:00,21.0
2018-10-02 12:00:00,21.0
2018-10-02 12:30:00,21.0
2018-10-02 13:00:00,21.0
2018-10-02 13:30:00,21.0
2018-10-02 14:00:00,21.0
2018-10-02 14:30:00,21.0
2018-10-02 15:00:00,21.0
2018-10-02 15:30:00,21.0
2018-10-02 16:00:00,21.0
2018-10-02 16:30:00,21.0
2018-10-02 17:00:00,21.0
2018-10-02 17:30:00,21.0
2018-10-02 18:00:00,20.98
2018-10-02 18:30:00,20.951
2018-10-02 19:00:00,20.933
2018-10-02 19:30:00,20.909
2018-10-02 20:00:00,20.892
2018-10-02 20:30:00,20.872
2018-10-02 21:00:00,20.854
2018-10-02 21:30:00,20.839
2018-10-02 22:00:00,20.819
2018-10-02 22:30:00,20.809
2018-10-02 23:00:00,20.79
2018-10-02 23:30:00,20.783
2018-10-03 00:00:00,20.767
2018-10-03 00:30:00,20.759
2018-10-03 01:00:00,20.754
2018-10-03 01:30:00,20.753
2018-10-03 02:00:00,20.743
2018-10-03 02:30:00,20.748
2018-10-03 03:00:00,20.734
2018-10-03 03:30:00,20.742
2018-10-03 04:00:00,20.739
2018-10-03 04:30:00,20.756
2018-10-03 05:00:00,20.759
2018-10-03 05:30:00,20.784
2018-10-03 06:00:00,20.795
2018-10-03 06:30:00,20.828
2018-10-03 07:00:00,20.849
2018-10-03 07:30:00,20.889
2018-10-03 08:00:00,20.924
2018-10-03 08:30:00,20.978
2018-10-03 09:00:00,21.0
2018-10-03 09:30:00,21.0
2018-10-03 10:00:00,21.0
2018-10-03 10:30:00,21.0
2018-10-03 11:00:00,21.0
2018-10-03 11:30:00,21.0
2018-10-03 12:00:00,21.0
2018-10-03 12:30:00,21.0
2018-10-03 13:00:00,21.0
2018-10-03 13:30:00,21.0
2018-10-03 14:00:00,21.0
2018-10-03 14:30:00,21.0
2018-10-03 15:00:00,21.0
2018-10-03 15:30:00,21.0
2018-10-03 16:00:00,21.0
2018-10-03 16:30:00,21.0
2018-10-03 17:00:00,21.0
2018-10-03 17:30:00,21.0
2018-10-03 18:00:00,20.988
2018-10-03 18:30:00,20.978
2018-10-03 19:00:00,20.967
2018-10-03 19:30:00,20.957
2018-10-03 20:00:00,20.947
2018-10-03 20:30:00,20.939
2018-10-03 21:00:00,20.931
2018-10-03 21:30:00,20.924
2018-10-03 22:00:00,20.915
2018-10-03 22:30:00,20.91
2018-10-03 23:00:00,20.902
2018-10-03 23:30:00,20.898
2018-10-04 00:00:00,20.892
2018-10-04 00:30:00,20.888
2018-10-04 01:00:00,20.887
2018-10-04 01:30:00,20.885
2018-10-04 02:00:00,20.885
2018-10-04 02:30:00,20.886
2018-10-04 03:00:00,20.886
2018-10-04 03:30:00,20.89
2018-10-04 04:00:00,20.889
2018-10-04 04:30:00,20.897
2018-10-04 05:00:00,20.892
2018-10-04 05:30:00,20.903
2018-10-04 06:00:00,20.896
2018-10-04 06:30:00,20.911
2018-10-04 07:00:00,20.914
2018-10-04 07:30:00,20.939
2018-10-04 08:00:00,20.947
2018-10-04 08:30:00,20.981
2018-10-04 09:00:00,21.0
2018-10-04 09:30:00,21.0
2018-10-04 10:00:00,21.0
2018-10-04 10:30:00,21.0
2018-10-04 11:00:00,21.0
2018-10-04 11:30:00,21.0
2018-10-04 12:00:00,21.0
2018-10-04 12:30:00,21.0
2018-10-04 13:00:00,21.0
2018-10-04 13:30:00,21.0
2018-10-04 14:00:00,21.0
2018-10-04 14:30:00,21.0
2018-10-04 15:00:00,21.0
2018-10-04 15:30:00,21.0
2018-10-04 16:00:00,21.0
2018-10-04 16:30:00,21.0
2018-10-04 17:00:00,21.0
2018-10-04 17:30:00,21.0
2018-10-04 18:00:00,20.988
2018-10-04 18:30:00,20.974
2018-10-04 19:00:00,20.958
2018-10-04 19:30:00,20.944
2018-10-04 20:00:00,20.927
2018-10-04 20:30:00,20.915
2018-10-04 21:00:00,20.897
2018-10-04 21:30:00,20.886
2018-10-04 22:00:00,20.869
2018-10-04 22:30:00,20.86
2018-10-04 23:00:00,20.847
2018-10-04 23:30:00,20.84
2018-10-05 00:00:00,20.832
2018-10-05 00:30:00,20.827
2018-10-05 01:00:00,20.826
2018-10-05 01:30:00,20.826
2018-10-05 02:00:00,20.825
