date,price
07/01/1994,1122.139662
08/01/1994,1135.238562
09/01/1994,1109.897831
10/01/1994,1080.34786
11/01/1994,1082.095245
12/01/1994,1083.639265
13/01/1994,1067.146255
14/01/1994,1080.12972
15/01/1994,1110.697678
16/01/1994,1100.424288
17/01/1994,1071.036309
18/01/1994,1084.471693
19/01/1994,1026.649039
20/01/1994,1061.19424
21/01/1994,1054.308122
22/01/1994,1040.633157
23/01/1994,1056.794183
24/01/1994,1040.535104
25/01/1994,1057.83579
26/01/1994,1041.120905
27/01/1994,1044.791756
28/01/1994,1046.486394
29/01/1994,1047.815364
30/01/1994,1070.91565
31/01/1994,1079.764354
01/02/1994,1117.782978
02/02/1994,1131.95039
03/02/1994,1116.385374
04/02/1994,1124.008725
05/02/1994,1130.259109
06/02/1994,1173.400955
07/02/1994,1156.397785
08/02/1994,1111.179006
09/02/1994,1096.528238
10/02/1994,1127.970216
11/02/1994,1130.725996
12/02/1994,1134.194117
13/02/1994,1108.07232
14/02/1994,1122.547226
15/02/1994,1119.79884
16/02/1994,1107.41095
17/02/1994,1146.121164
18/02/1994,1147.428582
19/02/1994,1152.612055
20/02/1994,1168.432303
21/02/1994,1134.741654
22/02/1994,1151.847442
23/02/1994,1170.264534
24/02/1994,1183.225417
25/02/1994,1197.945483
26/02/1994,1186.713502
27/02/1994,1206.077531
28/02/1994,1215.791492
01/03/1994,1193.55157
02/03/1994,1198.613678
03/03/1994,1217.590338
04/03/1994,1174.98108
05/03/1994,1147.952483
06/03/1994,1113.770654
07/03/1994,1099.127933
08/03/1994,1098.534895
09/03/1994,1082.262018
10/03/1994,1103.634504
11/03/1994,1072.885738
12/03/1994,1064.03553
13/03/1994,1046.556952
14/03/1994,1035.332342
15/03/1994,1033.191684
16/03/1994,1021.7984
17/03/1994,1037.68722
18/03/1994,1055.056629
19/03/1994,1083.452458
20/03/1994,1052.769837
21/03/1994,1038.228385
22/03/1994,1038.865751
23/03/1994,1027.189445
24/03/1994,1057.905733
25/03/1994,1073.735423
26/03/1994,1107.769035
27/03/1994,1088.979559
28/03/1994,1086.281311
29/03/1994,1086.655721
30/03/1994,1100.33688
31/03/1994,1094.031493
01/04/1994,1078.34098
02/04/1994,1061.601113
03/04/1994,1114.780264
04/04/1994,1143.97531
05/04/1994,1125.830825
