DATE,PopEst
1/1/2011,311037
2/1/2011,311189
3/1/2011,311351
4/1/2011,311522
5/1/2011,311699
6/1/2011,311894
7/1/2011,312101
8/1/2011,312317
9/1/2011,312537
10/1/2011,312737
11/1/2011,312920
12/1/2011,313096
1/1/2012,313261
2/1/2012,313419
3/1/2012,313583
4/1/2012,313749
5/1/2012,313924
6/1/2012,314114
7/1/2012,314317
8/1/2012,314535
9/1/2012,314750
10/1/2012,314954
11/1/2012,315143
12/1/2012,315311
1/1/2013,315455
2/1/2013,315591
3/1/2013,315740
4/1/2013,315901
5/1/2013,316077
6/1/2013,316265
7/1/2013,316470
8/1/2013,316693
9/1/2013,316914
10/1/2013,317125
11/1/2013,317320
12/1/2013,317503
1/1/2014,317674
2/1/2014,317836
3/1/2014,318003
4/1/2014,318179
5/1/2014,318367
6/1/2014,318563
7/1/2014,318778
8/1/2014,319010
9/1/2014,319240
10/1/2014,319459
11/1/2014,319655
12/1/2014,319837
1/1/2015,320002
2/1/2015,320153
3/1/2015,320317
4/1/2015,320493
5/1/2015,320679
6/1/2015,320876
7/1/2015,321090
8/1/2015,321315
9/1/2015,321540
10/1/2015,321755
11/1/2015,321950
12/1/2015,322138
1/1/2016,322315
2/1/2016,322475
3/1/2016,322636
4/1/2016,322811
5/1/2016,322994
6/1/2016,323190
7/1/2016,323396
8/1/2016,323606
9/1/2016,323815
10/1/2016,324013
11/1/2016,324191
12/1/2016,324357
1/1/2017,324510
2/1/2017,324648
3/1/2017,324788
4/1/2017,324940
5/1/2017,325103
6/1/2017,325277
7/1/2017,325468
8/1/2017,325667
9/1/2017,325866
10/1/2017,326054
11/1/2017,326222
12/1/2017,326378
1/1/2018,326527
2/1/2018,326669
3/1/2018,326812
4/1/2018,326968
5/1/2018,327134
6/1/2018,327312
7/1/2018,327502
8/1/2018,327698
9/1/2018,327893
10/1/2018,328077
11/1/2018,328241
12/1/2018,328393
