year,month,decimal_date,average,interpolated
1958,3,1958.208,315.71,315.71
1958,4,1958.292,317.45,317.45
1958,5,1958.375,317.50,317.50
1958,6,1958.458,,317.10
1958,7,1958.542,315.86,315.86
1958,8,1958.625,314.93,314.93
1958,9,1958.708,313.20,313.20
1958,10,1958.792,,312.66
1958,11,1958.875,313.33,313.33
1958,12,1958.958,314.67,314.67
1959,1,1959.042,315.62,315.62
1959,2,1959.125,316.38,316.38
1959,3,1959.208,316.71,316.71
1959,4,1959.292,317.72,317.72
1959,5,1959.375,318.29,318.29
1959,6,1959.458,318.15,318.15
1959,7,1959.542,316.54,316.54
1959,8,1959.625,314.80,314.80
1959,9,1959.708,313.84,313.84
1959,10,1959.792,313.26,313.26
1959,11,1959.875,314.80,314.80
1959,12,1959.958,315.58,315.58
1960,1,1960.042,316.43,316.43
1960,2,1960.125,316.97,316.97
1960,3,1960.208,317.58,317.58
1960,4,1960.292,319.02,319.02
1960,5,1960.375,320.03,320.03
1960,6,1960.458,319.59,319.59
1960,7,1960.542,318.18,318.18
1960,8,1960.625,315.91,315.91
1960,9,1960.708,314.16,314.16
1960,10,1960.792,313.83,313.83
1960,11,1960.875,315.00,315.00
1960,12,1960.958,316.19,316.19
1961,1,1961.042,316.93,316.93
1961,2,1961.125,317.70,317.70
1961,3,1961.208,318.54,318.54
1961,4,1961.292,319.48,319.48
1961,5,1961.375,320.58,320.58
1961,6,1961.458,319.77,319.77
1961,7,1961.542,318.57,318.57
1961,8,1961.625,316.79,316.79
1961,9,1961.708,314.80,314.80
1961,10,1961.792,315.38,315.38
1961,11,1961.875,316.10,316.10
1961,12,1961.958,317.01,317.01
1962,1,1962.042,317.94,317.94
1962,2,1962.125,318.56,318.56
1962,3,1962.208,319.68,319.68
1962,4,1962.292,320.63,320.63
1962,5,1962.375,321.01,321.01
1962,6,1962.458,320.55,320.55
1962,7,1962.542,319.58,319.58
1962,8,1962.625,317.40,317.40
1962,9,1962.708,316.26,316.26
1962,10,1962.792,315.42,315.42
1962,11,1962.875,316.69,316.69
1962,12,1962.958,317.69,317.69
1963,1,1963.042,318.74,318.74
1963,2,1963.125,319.08,319.08
1963,3,1963.208,319.86,319.86
1963,4,1963.292,321.39,321.39
1963,5,1963.375,322.25,322.25
1963,6,1963.458,321.47,321.47
1963,7,1963.542,319.74,319.74
1963,8,1963.625,317.77,317.77
1963,9,1963.708,316.21,316.21
1963,10,1963.792,315.99,315.99
1963,11,1963.875,317.12,317.12
1963,12,1963.958,318.31,318.31
1964,1,1964.042,319.57,319.57
1964,2,1964.125,,320.07
1964,3,1964.208,,320.73
1964,4,1964.292,,321.77
1964,5,1964.375,322.25,322.25
1964,6,1964.458,321.89,321.89
1964,7,1964.542,320.44,320.44
1964,8,1964.625,318.70,318.70
1964,9,1964.708,316.70,316.70
1964,10,1964.792,316.79,316.79
1964,11,1964.875,317.79,317.79
1964,12,1964.958,318.71,318.71
1965,1,1965.042,319.44,319.44
1965,2,1965.125,320.44,320.44
1965,3,1965.208,320.89,320.89
1965,4,1965.292,322.13,322.13
1965,5,1965.375,322.16,322.16
1965,6,1965.458,321.87,321.87
1965,7,1965.542,321.39,321.39
1965,8,1965.625,318.81,318.81
1965,9,1965.708,317.81,317.81
1965,10,1965.792,317.30,317.30
1965,11,1965.875,318.87,318.87
1965,12,1965.958,319.42,319.42
1966,1,1966.042,320.62,320.62
1966,2,1966.125,321.59,321.59
1966,3,1966.208,322.39,322.39
1966,4,1966.292,323.87,323.87
1966,5,1966.375,324.01,324.01
1966,6,1966.458,323.75,323.75
1966,7,1966.542,322.39,322.39
1966,8,1966.625,320.37,320.37
1966,9,1966.708,318.64,318.64
1966,10,1966.792,318.10,318.10
1966,11,1966.875,319.79,319.79
1966,12,1966.958,321.08,321.08
1967,1,1967.042,322.07,322.07
1967,2,1967.125,322.50,322.50
1967,3,1967.208,323.04,323.04
1967,4,1967.292,324.42,324.42
1967,5,1967.375,325.00,325.00
1967,6,1967.458,324.09,324.09
1967,7,1967.542,322.55,322.55
1967,8,1967.625,320.92,320.92
1967,9,1967.708,319.31,319.31
1967,10,1967.792,319.31,319.31
1967,11,1967.875,320.72,320.72
1967,12,1967.958,321.96,321.96
1968,1,1968.042,322.57,322.57
1968,2,1968.125,323.15,323.15
1968,3,1968.208,323.89,323.89
1968,4,1968.292,325.02,325.02
1968,5,1968.375,325.57,325.57
1968,6,1968.458,325.36,325.36
1968,7,1968.542,324.14,324.14
1968,8,1968.625,322.03,322.03
1968,9,1968.708,320.41,320.41
1968,10,1968.792,320.25,320.25
1968,11,1968.875,321.31,321.31
1968,12,1968.958,322.84,322.84
1969,1,1969.042,324.00,324.00
1969,2,1969.125,324.42,324.42
1969,3,1969.208,325.64,325.64
1969,4,1969.292,326.66,326.66
1969,5,1969.375,327.34,327.34
1969,6,1969.458,326.76,326.76
1969,7,1969.542,325.88,325.88
1969,8,1969.625,323.67,323.67
1969,9,1969.708,322.38,322.38
1969,10,1969.792,321.78,321.78
1969,11,1969.875,322.85,322.85
1969,12,1969.958,324.11,324.11
1970,1,1970.042,325.03,325.03
1970,2,1970.125,325.99,325.99
1970,3,1970.208,326.87,326.87
1970,4,1970.292,328.13,328.13
1970,5,1970.375,328.07,328.07
1970,6,1970.458,327.66,327.66
1970,7,1970.542,326.35,326.35
1970,8,1970.625,324.69,324.69
1970,9,1970.708,323.10,323.10
1970,10,1970.792,323.16,323.16
1970,11,1970.875,323.98,323.98
1970,12,1970.958,325.13,325.13
